Log file: /home/cx/robot_deploy/log/2026-07-22_16-23-16.txt
Loaded ONNX policy: /home/cx/mjlab-recovered/logs/rsl_rl/custom_biped_velocity_nolinvel/2026-07-20_17-02-11/2026-07-20_17-02-11.onnx
  input=obs[1,65] output=actions[1,6]
  velocity_command=[0.1, 0.0, 0.0]
  startup=move 4s + hold 1s
Connected to /dev/ttyACM0 at 921600 baud; loop rate 200 Hz.
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.36000001430511475, 0.09000000357627869, 0.09000000357627869, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.09000000357627869, -1.53000009059906, 0.0, -0.18000000715255737, 0.18000000715255737] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.27000001072883606, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.8999999761581421, -0.18000000715255737, 0.18000000715255737, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -2.1600000858306885, 0.0, -0.09000000357627869, 0.18000000715255737] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, -0.18000000715255737, 2.1600000858306885, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[0.18000000715255737, 0.0, 3.3299999237060547, -0.09000000357627869, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.8999999761581421, 0.18000000715255737, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.18000000715255737, 0.0, -0.0, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -1.1700000762939453, 0.0, -0.0, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -1.0800000429153442, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[0.09000000357627869, 0.0, -2.430000066757202, 0.27000001072883606, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.18000000715255737, 0.0, -0.8999999761581421, 0.09000000357627869, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.09000000357627869, 0.0, 1.2599999904632568, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 1.8899999856948853, 0.09000000357627869, -0.18000000715255737, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 2.3400001525878906, -0.09000000357627869, -0.18000000715255737, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 1.53000009059906, 0.0, 0.27000001072883606, 0.27000001072883606] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[0.18000000715255737, -0.27000001072883606, 0.5400000214576721, 0.0, 0.09000000357627869, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 2.609999895095825, 0.09000000357627869, -0.09000000357627869, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 1.9800000190734863, 0.18000000715255737, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 1.2599999904632568, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.8999999761581421, -0.09000000357627869, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.7200000286102295, -0.18000000715255737, -0.0, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -2.609999895095825, 0.09000000357627869, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.5400000214576721, 0.27000001072883606, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -1.8899999856948853, 0.0, 0.09000000357627869, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -1.53000009059906, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -2.609999895095825, -0.09000000357627869, 0.09000000357627869, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -2.25, -0.09000000357627869, -0.18000000715255737, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.09000000357627869, 0.0, 0.18000000715255737, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.09000000357627869, 0.0, -0.36000001430511475, -0.27000001072883606] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.5400000214576721, 0.18000000715255737, -0.09000000357627869, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.6299999952316284, 0.0, 0.18000000715255737, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 1.9800000190734863, 0.18000000715255737, 0.27000001072883606, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 1.440000057220459, -0.18000000715255737, 0.18000000715255737, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.7200000286102295, 0.0, -0.0, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.18000000715255737, 0.0, -0.27000001072883606, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[0.27000001072883606, 0.0, -1.709999918937683, 0.0, -0.18000000715255737, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -1.9800000190734863, 0.09000000357627869, 0.09000000357627869, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.6299999952316284, 0.0, 0.09000000357627869, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 1.2599999904632568, 0.0, -0.09000000357627869, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 1.53000009059906, -0.09000000357627869, -0.09000000357627869, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.6299999952316284, 0.18000000715255737, -0.09000000357627869, -0.18000000715255737] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[0.27000001072883606, 0.0, 0.44999998807907104, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[0.18000000715255737, 0.0, 0.7200000286102295, 0.09000000357627869, -0.18000000715255737, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.809999942779541, -0.18000000715255737, -0.18000000715255737, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.18000000715255737, -0.8999999761581421, 0.0, -0.0, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -2.1600000858306885, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.27000001072883606, 0.0, 0.18000000715255737, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[0.27000001072883606, 0.0, 1.1700000762939453, 0.0, -0.18000000715255737, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 2.1600000858306885, 0.0, 0.18000000715255737, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[0.27000001072883606, 0.0, 2.609999895095825, 0.0, -0.09000000357627869, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.6299999952316284, 0.0, -0.0, 0.18000000715255737] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -1.350000023841858, 0.0, 0.09000000357627869, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.36000001430511475, 0.09000000357627869, -0.09000000357627869, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.36000001430511475, 0.0, 0.09000000357627869, -0.27000001072883606] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 1.2599999904632568, 0.0, 0.09000000357627869, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 1.1700000762939453, 0.0, -0.18000000715255737, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.940000534057617, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, -0.44999998807907104, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
