host_time_ns,host_elapsed_s,stm32_time_ms,command_seq,onnx_raw_left_leg,onnx_raw_left_knee,onnx_raw_left_ankle,onnx_raw_right_leg,onnx_raw_right_knee,onnx_raw_right_ankle,action_left_leg,action_left_knee,action_left_ankle,action_right_leg,action_right_knee,action_right_ankle,target_deg_left_leg,target_deg_left_knee,target_deg_left_ankle,target_deg_right_leg,target_deg_right_knee,target_deg_right_ankle,position_deg_left_leg,position_deg_left_knee,position_deg_left_ankle,position_deg_right_leg,position_deg_right_knee,position_deg_right_ankle,velocity_deg_s_left_leg,velocity_deg_s_left_knee,velocity_deg_s_left_ankle,velocity_deg_s_right_leg,velocity_deg_s_right_knee,velocity_deg_s_right_ankle
529086853139780,0.000000000,0,1,-2.793618679046631,0.9870631694793701,0.36786094307899475,2.2285263538360596,-0.6514812707901001,0.6758309006690979,-1.0,0.9870631694793701,0.36786094307899475,1.0,-0.6514812707901001,0.6758309006690979,-0.31324100494384766,-0.20590628683567047,15.269218444824219,20.31324005126953,-33.064491271972656,19.680564880371094,10.0,-20.0,10.0,10.0,-20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
529086854562629,0.001422849,20,2,-3.189723491668701,1.0913225412368774,0.4416879713535309,3.181807518005371,-0.9911031723022461,0.7283199429512024,-1.0,1.0,0.4416879713535309,1.0,-0.9911031723022461,0.7283199429512024,-0.31324100494384766,0.05352306738495827,16.326711654663086,20.31324005126953,-39.87510681152344,20.432415008544922,9.582515366658118,-19.176499039880397,9.70601948945379,10.456790770725943,-21.512980809606578,11.439250931882635,-18.827169431128176,21.311702661843274,-56.985584004055745,24.10464664530676,-103.24372970308924,97.14504462322064
529086855435476,0.002295696,40,3,-3.358564615249634,1.1697720289230347,0.7445622086524963,3.2863564491271973,-1.0700674057006836,0.804067075252533,-1.0,1.0,0.7445622086524963,1.0,-1.0,0.804067075252533,-0.31324100494384766,0.05352306738495827,20.665067672729492,20.31324005126953,-40.05351638793945,21.517410278320312,8.925369723620529,-18.702344456142907,9.432430722860504,11.204868447155048,-24.694961522239325,13.69368464245612,-39.71531098434397,29.008229171700517,-13.723789287153654,42.02630607179819,-181.35302330238267,114.14641625505286
529086856226552,0.003086772,60,4,-3.19368839263916,1.0780093669891357,0.37582725286483765,3.5782785415649414,-1.1311802864074707,0.8190869688987732,-1.0,1.0,0.37582725286483765,1.0,-1.0,0.8190869688987732,-0.31324100494384766,0.05352306738495827,15.383326530456543,20.31324005126953,-40.05351638793945,21.732553482055664,8.0041849973097,-18.09546470662745,9.528504172857776,12.051179607075497,-28.484005189169658,15.909082177155137,-48.81150875386437,32.28149351595043,13.059484247455101,41.44745756207253,-187.74293171577162,104.80628374925651
529086857081871,0.003942091,80,5,-2.9427878856658936,0.94378662109375,0.06675015389919281,4.080643177032471,-1.164427399635315,0.8287124037742615,-1.0,0.94378662109375,0.06675015389919281,1.0,-1.0,0.8287124037742615,-0.31324100494384766,-1.0737534761428833,10.956125259399414,20.31324005126953,-40.05351638793945,21.87042808532715,6.975633299796134,-17.1256404073852,9.284926259565127,12.842038853592195,-31.92551819199259,17.727384022322223,-52.196136544568226,57.1686960018152,-22.67247555277565,38.057119082652996,-159.7043770860075,81.66737019377193
529086857817838,0.004678058,100,6,-3.1821248531341553,0.8047093749046326,0.030481602996587753,4.55079984664917,-1.2591149806976318,0.6990970969200134,-1.0,0.8047093749046326,0.030481602996587753,1.0,-1.0,0.6990970969200134,-0.31324100494384766,-3.862741470336914,10.436615943908691,20.31324005126953,-40.05351638793945,20.013826370239258,5.98245696697603,-15.765892078600588,8.399073128602545,13.555830007587016,-34.63635903818127,19.073431968983797,-47.83635369227285,69.34820905833848,-27.73147236429376,34.18709620076185,-118.48743223941496,58.747517103527
